dataset,operating_point,scanner_only_or,scanner_only_wald_p,scanner_only_lrt_p,scanner_plus_clinical_or,scanner_plus_clinical_wald_p,scanner_plus_clinical_lrt_p
g1090_internal,S80,0.10624215169520362,2.2664121816601946e-05,2.0650808356280493e-08,0.2159155694941371,0.005869354465055161,0.0014131709098142793
g1090_internal,S82.5,0.11904581720256528,6.126043851836872e-05,1.864508020746857e-07,,,
g1090_internal,S85,0.12254512034953964,7.104492085847386e-05,2.0507003644757882e-07,0.2810335282395506,0.022223294034599547,0.00945301422709547
g1090_internal,S87.5,0.17659030444462903,0.000269177986813682,6.3665943134940194e-06,0.49383666292598033,0.16479389156327218,0.1382728855382
g1090_internal,S90,,,,,,
sdata_external,S80,0.16555578034287438,0.0003742837732621809,2.4763341397517386e-05,0.518080283269664,0.2236218746391716,0.201742173714799
sdata_external,S82.5,0.1850112900808866,0.0007453020140394512,6.821225733321102e-05,0.5855968587274065,0.3173638189049599,0.2977157421094989
sdata_external,S85,0.13574943477323786,0.0002892051846864474,7.7242780960291e-06,0.45509899778585194,0.17713642164534893,0.14938030154955664
sdata_external,S87.5,0.19524880964065122,0.00297155943718175,0.0004063248821447473,0.7067133265339837,0.5515656433141252,0.5395153469247013
sdata_external,S90,0.15353946987995457,0.00245259799725707,0.00014379592112624941,0.6050031271270052,0.4383614186984979,0.41483611818638255
