Characteristic,Internal,External,p-value
"Age, years, mean ± SD",57.1 ± 12.1,59.5 ± 12.7,<0.001
"Age, years, range",20–91,20–90,
"Sex, n (%)",,,<0.001
— F,692 (64.1%),497 (53.9%),
— M,387 (35.9%),425 (46.1%),
"Height, cm, mean ± SD",162.2 ± 8.2,162.5 ± 8.6,0.401
"Weight, kg, mean ± SD",61.9 ± 10.6,61.8 ± 11.4,0.873
"BMI, kg/m², mean ± SD",23.5 ± 3.1,23.3 ± 3.4,0.383
"Hypertension, n (%)",324 (30.0%),424 (46.0%),<0.001
"Diabetes mellitus, n (%)",202 (18.7%),285 (30.9%),<0.001
"Chronic kidney disease, n (%)",83 (7.7%),168 (18.2%),<0.001
"CT scanner vendor, n (%)",,,<0.001
— Siemens,560 (51.9%),568 (61.6%),
— GE,317 (29.4%),219 (23.8%),
— Philips,202 (18.7%),135 (14.6%),
